algorithm	category	runtime	seed_size_step	seeds
diamond	module_identification	63.16053104400635	10	[42241, 1921, 67905, 44135, 164937, 140587, 15340, 167376, 172631, 59736]
must	module_identification	116.29174065589905	10	[42241, 1921, 67905, 44135, 164937, 140587, 15340, 167376, 172631, 59736]
kpm	module_identification	346.5185797214508	10	[42241, 1921, 67905, 44135, 164937, 140587, 15340, 167376, 172631, 59736]
domino	module_identification	218.49763298034668	10	[42241, 1921, 67905, 44135, 164937, 140587, 15340, 167376, 172631, 59736]
robust	module_identification	17.10729742050171	10	[42241, 1921, 67905, 44135, 164937, 140587, 15340, 167376, 172631, 59736]
trustrank	drug_prioritization	3.2082037925720215	10	[42241, 1921, 67905, 44135, 164937, 140587, 15340, 167376, 172631, 59736]
centrality	drug_prioritization	13.760071992874146	10	[42241, 1921, 67905, 44135, 164937, 140587, 15340, 167376, 172631, 59736]
diamond	module_identification	56.11378073692322	10	[183417, 159811, 148906, 155179, 118477, 141586, 100148, 149977, 150716]
must	module_identification	146.54314422607422	10	[183417, 159811, 148906, 155179, 118477, 141586, 100148, 149977, 150716]
kpm	module_identification	345.85331630706787	10	[183417, 159811, 148906, 155179, 118477, 141586, 100148, 149977, 150716]
domino	module_identification	217.74933981895447	10	[183417, 159811, 148906, 155179, 118477, 141586, 100148, 149977, 150716]
robust	module_identification	27.58554434776306	10	[183417, 159811, 148906, 155179, 118477, 141586, 100148, 149977, 150716]
trustrank	drug_prioritization	4.541568040847778	10	[183417, 159811, 148906, 155179, 118477, 141586, 100148, 149977, 150716]
centrality	drug_prioritization	14.923113822937012	10	[183417, 159811, 148906, 155179, 118477, 141586, 100148, 149977, 150716]
diamond	module_identification	54.44855618476868	10	[95840, 183334, 122183, 172631, 38665, 15340, 164846, 139472, 10679, 6266]
must	module_identification	117.79044580459595	10	[95840, 183334, 122183, 172631, 38665, 15340, 164846, 139472, 10679, 6266]
kpm	module_identification	360.3379352092743	10	[95840, 183334, 122183, 172631, 38665, 15340, 164846, 139472, 10679, 6266]
domino	module_identification	217.51311779022217	10	[95840, 183334, 122183, 172631, 38665, 15340, 164846, 139472, 10679, 6266]
robust	module_identification	17.025341510772705	10	[95840, 183334, 122183, 172631, 38665, 15340, 164846, 139472, 10679, 6266]
trustrank	drug_prioritization	-1.0	10	[95840, 183334, 122183, 172631, 38665, 15340, 164846, 139472, 10679, 6266]
centrality	drug_prioritization	13.847513675689697	10	[95840, 183334, 122183, 172631, 38665, 15340, 164846, 139472, 10679, 6266]
diamond	module_identification	31.474738597869873	10	[92641, 51270, 121163, 107790, 18706, 37778, 87543, 108507, 183902, 124799]
must	module_identification	133.982421875	10	[92641, 51270, 121163, 107790, 18706, 37778, 87543, 108507, 183902, 124799]
kpm	module_identification	345.07807755470276	10	[92641, 51270, 121163, 107790, 18706, 37778, 87543, 108507, 183902, 124799]
domino	module_identification	214.62002968788147	10	[92641, 51270, 121163, 107790, 18706, 37778, 87543, 108507, 183902, 124799]
robust	module_identification	27.37096905708313	10	[92641, 51270, 121163, 107790, 18706, 37778, 87543, 108507, 183902, 124799]
trustrank	drug_prioritization	3.9176342487335205	10	[92641, 51270, 121163, 107790, 18706, 37778, 87543, 108507, 183902, 124799]
centrality	drug_prioritization	13.144084215164185	10	[92641, 51270, 121163, 107790, 18706, 37778, 87543, 108507, 183902, 124799]
diamond	module_identification	44.77600860595703	10	[109316, 120356, 48294, 58472, 188968, 113002, 115473, 74644, 45334, 43896, 31006]
must	module_identification	162.369788646698	10	[109316, 120356, 48294, 58472, 188968, 113002, 115473, 74644, 45334, 43896, 31006]
kpm	module_identification	346.23334860801697	10	[109316, 120356, 48294, 58472, 188968, 113002, 115473, 74644, 45334, 43896, 31006]
domino	module_identification	220.98594784736633	10	[109316, 120356, 48294, 58472, 188968, 113002, 115473, 74644, 45334, 43896, 31006]
robust	module_identification	28.65830087661743	10	[109316, 120356, 48294, 58472, 188968, 113002, 115473, 74644, 45334, 43896, 31006]
trustrank	drug_prioritization	2.6132993698120117	10	[109316, 120356, 48294, 58472, 188968, 113002, 115473, 74644, 45334, 43896, 31006]
centrality	drug_prioritization	15.541998624801636	10	[109316, 120356, 48294, 58472, 188968, 113002, 115473, 74644, 45334, 43896, 31006]
diamond	module_identification	49.03480625152588	25	[31106, 59146, 98698, 94865, 28050, 39451, 117406, 93855, 85412, 48293, 10280, 144427, 104112, 45489, 146866, 39223, 10679, 120377, 174784, 64470, 41055, 143725, 170862, 152813, 177146, 187003]
must	module_identification	202.95358657836914	25	[31106, 59146, 98698, 94865, 28050, 39451, 117406, 93855, 85412, 48293, 10280, 144427, 104112, 45489, 146866, 39223, 10679, 120377, 174784, 64470, 41055, 143725, 170862, 152813, 177146, 187003]
kpm	module_identification	350.17095494270325	25	[31106, 59146, 98698, 94865, 28050, 39451, 117406, 93855, 85412, 48293, 10280, 144427, 104112, 45489, 146866, 39223, 10679, 120377, 174784, 64470, 41055, 143725, 170862, 152813, 177146, 187003]
domino	module_identification	218.24277114868164	25	[31106, 59146, 98698, 94865, 28050, 39451, 117406, 93855, 85412, 48293, 10280, 144427, 104112, 45489, 146866, 39223, 10679, 120377, 174784, 64470, 41055, 143725, 170862, 152813, 177146, 187003]
robust	module_identification	28.779402494430542	25	[31106, 59146, 98698, 94865, 28050, 39451, 117406, 93855, 85412, 48293, 10280, 144427, 104112, 45489, 146866, 39223, 10679, 120377, 174784, 64470, 41055, 143725, 170862, 152813, 177146, 187003]
trustrank	drug_prioritization	4.526605844497681	25	[31106, 59146, 98698, 94865, 28050, 39451, 117406, 93855, 85412, 48293, 10280, 144427, 104112, 45489, 146866, 39223, 10679, 120377, 174784, 64470, 41055, 143725, 170862, 152813, 177146, 187003]
centrality	drug_prioritization	13.812036991119385	25	[31106, 59146, 98698, 94865, 28050, 39451, 117406, 93855, 85412, 48293, 10280, 144427, 104112, 45489, 146866, 39223, 10679, 120377, 174784, 64470, 41055, 143725, 170862, 152813, 177146, 187003]
diamond	module_identification	55.08920741081238	25	[46473, 59146, 157454, 122644, 86307, 125222, 10280, 63146, 121132, 191408, 169018, 63931, 160455, 3146, 19154, 118996, 26709, 172631, 14044, 41055, 72801, 112102, 129383, 124525, 54001, 38527]
must	module_identification	153.54593133926392	25	[46473, 59146, 157454, 122644, 86307, 125222, 10280, 63146, 121132, 191408, 169018, 63931, 160455, 3146, 19154, 118996, 26709, 172631, 14044, 41055, 72801, 112102, 129383, 124525, 54001, 38527]
kpm	module_identification	348.27075147628784	25	[46473, 59146, 157454, 122644, 86307, 125222, 10280, 63146, 121132, 191408, 169018, 63931, 160455, 3146, 19154, 118996, 26709, 172631, 14044, 41055, 72801, 112102, 129383, 124525, 54001, 38527]
domino	module_identification	217.65881371498108	25	[46473, 59146, 157454, 122644, 86307, 125222, 10280, 63146, 121132, 191408, 169018, 63931, 160455, 3146, 19154, 118996, 26709, 172631, 14044, 41055, 72801, 112102, 129383, 124525, 54001, 38527]
robust	module_identification	26.961431980133057	25	[46473, 59146, 157454, 122644, 86307, 125222, 10280, 63146, 121132, 191408, 169018, 63931, 160455, 3146, 19154, 118996, 26709, 172631, 14044, 41055, 72801, 112102, 129383, 124525, 54001, 38527]
trustrank	drug_prioritization	4.644164562225342	25	[46473, 59146, 157454, 122644, 86307, 125222, 10280, 63146, 121132, 191408, 169018, 63931, 160455, 3146, 19154, 118996, 26709, 172631, 14044, 41055, 72801, 112102, 129383, 124525, 54001, 38527]
centrality	drug_prioritization	13.798429250717163	25	[46473, 59146, 157454, 122644, 86307, 125222, 10280, 63146, 121132, 191408, 169018, 63931, 160455, 3146, 19154, 118996, 26709, 172631, 14044, 41055, 72801, 112102, 129383, 124525, 54001, 38527]
diamond	module_identification	59.14706110954285	25	[37253, 154121, 14731, 72467, 191642, 43676, 125469, 102695, 58413, 51120, 62898, 68404, 22593, 187335, 96465, 96466, 121555, 185942, 65627, 168809, 3692, 139757, 37231, 117363]
must	module_identification	176.60018515586853	25	[37253, 154121, 14731, 72467, 191642, 43676, 125469, 102695, 58413, 51120, 62898, 68404, 22593, 187335, 96465, 96466, 121555, 185942, 65627, 168809, 3692, 139757, 37231, 117363]
kpm	module_identification	350.4384574890137	25	[37253, 154121, 14731, 72467, 191642, 43676, 125469, 102695, 58413, 51120, 62898, 68404, 22593, 187335, 96465, 96466, 121555, 185942, 65627, 168809, 3692, 139757, 37231, 117363]
domino	module_identification	218.11729860305786	25	[37253, 154121, 14731, 72467, 191642, 43676, 125469, 102695, 58413, 51120, 62898, 68404, 22593, 187335, 96465, 96466, 121555, 185942, 65627, 168809, 3692, 139757, 37231, 117363]
robust	module_identification	26.97750759124756	25	[37253, 154121, 14731, 72467, 191642, 43676, 125469, 102695, 58413, 51120, 62898, 68404, 22593, 187335, 96465, 96466, 121555, 185942, 65627, 168809, 3692, 139757, 37231, 117363]
trustrank	drug_prioritization	4.631440162658691	25	[37253, 154121, 14731, 72467, 191642, 43676, 125469, 102695, 58413, 51120, 62898, 68404, 22593, 187335, 96465, 96466, 121555, 185942, 65627, 168809, 3692, 139757, 37231, 117363]
centrality	drug_prioritization	13.755699872970581	25	[37253, 154121, 14731, 72467, 191642, 43676, 125469, 102695, 58413, 51120, 62898, 68404, 22593, 187335, 96465, 96466, 121555, 185942, 65627, 168809, 3692, 139757, 37231, 117363]
diamond	module_identification	61.011699199676514	25	[2048, 11012, 24197, 189970, 125589, 82711, 155546, 104349, 134306, 48293, 130088, 95146, 46640, 182198, 39223, 37436, 122199, 126053, 58222, 54001, 40055, 63870]
must	module_identification	212.1567611694336	25	[2048, 11012, 24197, 189970, 125589, 82711, 155546, 104349, 134306, 48293, 130088, 95146, 46640, 182198, 39223, 37436, 122199, 126053, 58222, 54001, 40055, 63870]
kpm	module_identification	346.2510623931885	25	[2048, 11012, 24197, 189970, 125589, 82711, 155546, 104349, 134306, 48293, 130088, 95146, 46640, 182198, 39223, 37436, 122199, 126053, 58222, 54001, 40055, 63870]
domino	module_identification	219.95247411727905	25	[2048, 11012, 24197, 189970, 125589, 82711, 155546, 104349, 134306, 48293, 130088, 95146, 46640, 182198, 39223, 37436, 122199, 126053, 58222, 54001, 40055, 63870]
robust	module_identification	30.0308039188385	25	[2048, 11012, 24197, 189970, 125589, 82711, 155546, 104349, 134306, 48293, 130088, 95146, 46640, 182198, 39223, 37436, 122199, 126053, 58222, 54001, 40055, 63870]
trustrank	drug_prioritization	-1.0	25	[2048, 11012, 24197, 189970, 125589, 82711, 155546, 104349, 134306, 48293, 130088, 95146, 46640, 182198, 39223, 37436, 122199, 126053, 58222, 54001, 40055, 63870]
centrality	drug_prioritization	20.912749528884888	25	[2048, 11012, 24197, 189970, 125589, 82711, 155546, 104349, 134306, 48293, 130088, 95146, 46640, 182198, 39223, 37436, 122199, 126053, 58222, 54001, 40055, 63870]
diamond	module_identification	60.3776478767395	25	[134146, 24196, 62352, 99217, 155283, 140180, 39451, 183326, 161566, 120356, 70058, 29229, 103856, 9521, 42292, 108729, 67267, 155473, 118996, 114133, 71638, 12630, 151653, 155368, 152813, 64502, 187003, 176510]
must	module_identification	252.04954624176025	25	[134146, 24196, 62352, 99217, 155283, 140180, 39451, 183326, 161566, 120356, 70058, 29229, 103856, 9521, 42292, 108729, 67267, 155473, 118996, 114133, 71638, 12630, 151653, 155368, 152813, 64502, 187003, 176510]
kpm	module_identification	357.83259201049805	25	[134146, 24196, 62352, 99217, 155283, 140180, 39451, 183326, 161566, 120356, 70058, 29229, 103856, 9521, 42292, 108729, 67267, 155473, 118996, 114133, 71638, 12630, 151653, 155368, 152813, 64502, 187003, 176510]
domino	module_identification	222.48781490325928	25	[134146, 24196, 62352, 99217, 155283, 140180, 39451, 183326, 161566, 120356, 70058, 29229, 103856, 9521, 42292, 108729, 67267, 155473, 118996, 114133, 71638, 12630, 151653, 155368, 152813, 64502, 187003, 176510]
robust	module_identification	30.46531629562378	25	[134146, 24196, 62352, 99217, 155283, 140180, 39451, 183326, 161566, 120356, 70058, 29229, 103856, 9521, 42292, 108729, 67267, 155473, 118996, 114133, 71638, 12630, 151653, 155368, 152813, 64502, 187003, 176510]
trustrank	drug_prioritization	-1.0	25	[134146, 24196, 62352, 99217, 155283, 140180, 39451, 183326, 161566, 120356, 70058, 29229, 103856, 9521, 42292, 108729, 67267, 155473, 118996, 114133, 71638, 12630, 151653, 155368, 152813, 64502, 187003, 176510]
centrality	drug_prioritization	15.041875839233398	25	[134146, 24196, 62352, 99217, 155283, 140180, 39451, 183326, 161566, 120356, 70058, 29229, 103856, 9521, 42292, 108729, 67267, 155473, 118996, 114133, 71638, 12630, 151653, 155368, 152813, 64502, 187003, 176510]
diamond	module_identification	53.6676881313324	50	[2048, 102656, 4610, 171395, 51973, 134150, 66186, 137355, 82574, 47632, 62352, 165525, 132122, 68890, 104349, 11550, 48293, 55589, 88357, 75176, 45867, 9521, 146866, 39993, 169018, 153916, 145603, 186948, 26829, 23635, 118996, 122199, 172631, 57434, 41055, 85472, 72801, 116192, 50277, 124775, 116202, 15340, 38508, 54001, 18546]
must	module_identification	332.8926296234131	50	[2048, 102656, 4610, 171395, 51973, 134150, 66186, 137355, 82574, 47632, 62352, 165525, 132122, 68890, 104349, 11550, 48293, 55589, 88357, 75176, 45867, 9521, 146866, 39993, 169018, 153916, 145603, 186948, 26829, 23635, 118996, 122199, 172631, 57434, 41055, 85472, 72801, 116192, 50277, 124775, 116202, 15340, 38508, 54001, 18546]
kpm	module_identification	356.0776240825653	50	[2048, 102656, 4610, 171395, 51973, 134150, 66186, 137355, 82574, 47632, 62352, 165525, 132122, 68890, 104349, 11550, 48293, 55589, 88357, 75176, 45867, 9521, 146866, 39993, 169018, 153916, 145603, 186948, 26829, 23635, 118996, 122199, 172631, 57434, 41055, 85472, 72801, 116192, 50277, 124775, 116202, 15340, 38508, 54001, 18546]
domino	module_identification	222.98008632659912	50	[2048, 102656, 4610, 171395, 51973, 134150, 66186, 137355, 82574, 47632, 62352, 165525, 132122, 68890, 104349, 11550, 48293, 55589, 88357, 75176, 45867, 9521, 146866, 39993, 169018, 153916, 145603, 186948, 26829, 23635, 118996, 122199, 172631, 57434, 41055, 85472, 72801, 116192, 50277, 124775, 116202, 15340, 38508, 54001, 18546]
